job_title,job_skill_set
Web Developer,"['HTML','CSS','JS','Github','React.js','Vite']"
Data Scientist,"['Python','R','SQL','TensorFlow','PyTorch','Scikit-learn']"
Registered Nurse,"['Patient Care','Medication Administration','Wound Care','Electronic Health Records (EHR)','BLS/CPR']"
Financial Analyst,"['Financial Modeling','Excel','SQL','Tableau','Corporate Finance']"
Marketing Manager,"['SEO/SEM','Google Analytics','Content Marketing','Social Media Marketing','Email Marketing']"
Teacher,"['Curriculum Development','Classroom Management','Differentiated Instruction','Assessment','Lesson Planning']"
Mechanical Engineer,"['AutoCAD','SolidWorks','Thermodynamics','Finite Element Analysis (FEA)','MATLAB']"
Graphic Designer,"['Adobe Photoshop','Adobe Illustrator','Adobe InDesign','Typography','UI/UX Design']"
Electrician,"['Wiring','Circuit Breakers','Transformers','Conduit Bending','National Electrical Code (NEC)']"
Project Manager,"['Agile Methodologies','Scrum','JIRA','Risk Management','Budgeting']"
Accountant,"['QuickBooks','GAAP','Tax Preparation','Auditing','Financial Reporting']"
Chef,"['Culinary Arts','Menu Planning','Food Costing','Kitchen Management','Food Safety']"
Software Engineer,"['Java','Python','C++','Data Structures','Algorithms']"
Human Resources Manager,"['Recruiting','Employee Relations','Onboarding','HRIS','Compensation and Benefits']"
Sales Representative,"['CRM Software','Negotiation','Lead Generation','Sales Funnel Management','Closing Techniques']"
Customer Service Representative,"['Zendesk','Interpersonal Skills','Problem Solving','Conflict Resolution','Data Entry']"
Doctor,"['Medical Diagnosis','Treatment Planning','Patient Communication','Electronic Medical Records (EMR)','Anatomy']"
Lawyer,"['Legal Research','Litigation','Contract Law','Legal Writing','Negotiation']"
Architect,"['AutoCAD','Revit','SketchUp','Building Codes','Sustainable Design']"
Plumber,"['Pipe Fitting','Drain Cleaning','Water Heater Installation','Blueprint Reading','Soldering']"
Veterinarian,"['Animal Husbandry','Surgery','Anesthesia','Radiology','Pharmacology']"
Dentist,"['Oral Hygiene','Restorative Dentistry','Endodontics','Prosthodontics','Radiography']"
Pharmacist,"['Medication Dispensing','Pharmacology','Patient Counseling','Immunization','Compounding']"
Physical Therapist,"['Manual Therapy','Therapeutic Exercise','Gait Training','Patient Education','Modalities']"
Occupational Therapist,"['Activities of Daily Living (ADLs)','Fine Motor Skills','Cognitive Rehabilitation','Adaptive Equipment','Pediatrics']"
Speech-Language Pathologist,"['Articulation Therapy','Language Disorders','Swallowing Disorders','Augmentative and Alternative Communication (AAC)','Aphasia']"
Chiropractor,"['Spinal Manipulation','Manual Adjustments','Soft Tissue Therapy','Rehabilitation Exercises','X-ray Interpretation']"
Psychologist,"['Cognitive Behavioral Therapy (CBT)','Psychotherapy','Psychological Assessment','Group Therapy','Crisis Intervention']"
Social Worker,"['Case Management','Counseling','Advocacy','Community Resources','Crisis Intervention']"
Librarian,"['Cataloging','Reference Services','Information Literacy','Database Searching','Collection Development']"
Museum Curator,"['Exhibit Design','Collections Management','Archival Research','Conservation','Grant Writing']"
Journalist,"['AP Style','Interviewing','Fact-Checking','Investigative Reporting','Digital Media']"
Public Relations Specialist,"['Media Relations','Press Releases','Crisis Communications','Social Media Strategy','Event Planning']"
Event Planner,"['Budget Management','Vendor Negotiation','Logistics','Marketing and Promotion','Client Relations']"
Real Estate Agent,"['Property Valuation','Negotiation','Lead Generation','CRM','Contract Law']"
Insurance Agent,"['Risk Assessment','Policy Underwriting','Sales','Customer Service','Claims Processing']"
Loan Officer,"['Mortgage Lending','Underwriting','Financial Analysis','Credit Analysis','Sales']"
Paralegal,"['Legal Research','Document Drafting','Case Management','E-discovery','Client Communication']"
Construction Manager,"['Project Scheduling','Budgeting','Blueprint Reading','Safety Management','Subcontractor Management']"
Interior Designer,"['AutoCAD','SketchUp','Space Planning','Color Theory','Material Selection']"
Cloud Engineer,"['AWS','Azure','GCP','Docker','Kubernetes','Terraform']"
DevOps Engineer,"['CI/CD','Jenkins','Ansible','Puppet','Chef','Git']"
Network Engineer,"['Cisco','Juniper','Routing','Switching','Firewalls','VPN']"
Database Administrator,"['SQL','MySQL','PostgreSQL','Oracle','MongoDB','Database Tuning']"
Cybersecurity Analyst,"['SIEM','Intrusion Detection','Penetration Testing','Firewall Management','Cryptography']"
Machine Learning Engineer,"['Python','TensorFlow','PyTorch','Scikit-learn','Natural Language Processing (NLP)','Computer Vision']"
AI Engineer,"['Deep Learning','Neural Networks','Reinforcement Learning','Generative Adversarial Networks (GANs)','AI Ethics']"
Blockchain Developer,"['Solidity','Ethereum','Hyperledger Fabric','Smart Contracts','Cryptography']"
Full Stack Developer,"['React.js','Node.js','Express.js','MongoDB','REST APIs','GraphQL']"
Mobile App Developer (iOS),"['Swift','Objective-C','Xcode','UIKit','Core Data']"
Mobile App Developer (Android),"['Java','Kotlin','Android Studio','Android SDK','Gradle']"
UI/UX Designer,"['Figma','Sketch','Adobe XD','Wireframing','Prototyping','User Research']"
Game Developer,"['Unity','Unreal Engine','C++','C#','3D Modeling','Game Physics']"
Embedded Systems Engineer,"['C','C++','Microcontrollers','RTOS','Firmware','Device Drivers']"
Data Engineer,"['ETL','Apache Spark','Hadoop','Kafka','Airflow','Data Warehousing']"
Site Reliability Engineer (SRE),"['Google Cloud Platform (GCP)','Amazon Web Services (AWS)','Prometheus','Grafana','Ansible','Terraform']"
Solutions Architect,"['Cloud Architecture','Microservices','Scalability','High Availability','Disaster Recovery']"
Automation Engineer,"['Selenium','Appium','JUnit','TestNG','CI/CD','Python']"
Robotics Engineer,"['ROS','C++','Python','SLAM','Computer Vision','Motion Planning']"
Firmware Engineer,"['C','Assembly','Microprocessors','Debugging','RTOS','Embedded Linux']"
Hardware Engineer,"['Verilog','VHDL','FPGA','ASIC','PCB Design','Signal Integrity']"
Systems Administrator,"['Linux','Windows Server','Bash','PowerShell','Networking','Virtualization']"
IT Support Specialist,"['Active Directory','Help Desk','Troubleshooting','Networking','Hardware Repair']"
Business Intelligence (BI) Developer,"['Tableau','Power BI','Qlik Sense','SQL','Data Warehousing','ETL']"
QA Engineer,"['Manual Testing','Automated Testing','JIRA','Selenium','Bug Tracking']"
Technical Writer,"['DITA','MadCap Flare','Markdown','API Documentation','Technical Editing']"
Product Manager (Technical),"['Agile','Scrum','JIRA','Roadmapping','User Stories','Market Research']"
Security Engineer,"['Network Security','Application Security','Cloud Security','Cryptography','Incident Response']"
AR/VR Developer,"['Unity','Unreal Engine','C#','C++','3D Graphics','Computer Vision']"
Bioinformatics Scientist,"['Python','R','Perl','Next-Generation Sequencing (NGS)','Genomics','Proteomics']"
Computational Linguist,"['Natural Language Processing (NLP)','Python','NLTK','spaCy','Machine Learning']"
Geographic Information Systems (GIS) Analyst,"['ArcGIS','QGIS','Remote Sensing','Spatial Analysis','Cartography']"
UX Researcher,"['User Interviews','Surveys','Usability Testing','Persona Development','Journey Mapping']"
IT Auditor,"['COBIT','ITIL','ISO 27001','Risk Assessment','Compliance']"
Scrum Master,"['Agile','Scrum','Kanban','JIRA','Backlog Management','Servant Leadership']"
Network Administrator,"['TCP/IP','DNS','DHCP','Active Directory','Network Monitoring']"
Cloud Security Engineer,"['AWS Security','Azure Security','GCP Security','SIEM','IAM']"
Data Privacy Officer,"['GDPR','CCPA','HIPAA','Data Protection','Privacy by Design']"
Quantum Computing Scientist,"['Quantum Mechanics','Linear Algebra','Python','Qiskit','Cirq']"
Cloud Engineer,"['AWS','Azure','GCP','Docker','Kubernetes','Terraform']"
DevOps Engineer,"['CI/CD','Jenkins','Ansible','Puppet','Chef','Git']"
Network Engineer,"['Cisco','Juniper','Routing','Switching','Firewalls','VPN']"
Database Administrator,"['SQL','MySQL','PostgreSQL','Oracle','MongoDB','Database Tuning']"
Cybersecurity Analyst,"['SIEM','Intrusion Detection','Penetration Testing','Firewall Management','Cryptography']"
Machine Learning Engineer,"['Python','TensorFlow','PyTorch','Scikit-learn','Natural Language Processing (NLP)','Computer Vision']"
Blockchain Developer,"['Solidity','Ethereum','Hyperledger Fabric','Smart Contracts','Cryptography']"
Full Stack Developer,"['React.js','Node.js','Express.js','MongoDB','REST APIs','GraphQL']"
Mobile App Developer (iOS),"['Swift','Objective-C','Xcode','UIKit','Core Data']"
Mobile App Developer (Android),"['Java','Kotlin','Android Studio','Android SDK','Gradle']"
UI/UX Designer,"['Figma','Sketch','Adobe XD','Wireframing','Prototyping','User Research']"
Game Developer,"['Unity','Unreal Engine','C++','C#','3D Modeling','Game Physics']"
Embedded Systems Engineer,"['C','C++','Microcontrollers','RTOS','Firmware','Device Drivers']"
Data Engineer,"['ETL','Apache Spark','Hadoop','Kafka','Airflow','Data Warehousing']"
Site Reliability Engineer (SRE),"['Google Cloud Platform (GCP)','Amazon Web Services (AWS)','Prometheus','Grafana','Ansible','Terraform']"
Solutions Architect,"['Cloud Architecture','Microservices','Scalability','High Availability','Disaster Recovery']"
Automation Engineer,"['Selenium','Appium','JUnit','TestNG','CI/CD','Python']"
Robotics Engineer,"['ROS','C++','Python','SLAM','Computer Vision','Motion Planning']"
Firmware Engineer,"['C','Assembly','Microprocessors','Debugging','RTOS','Embedded Linux']"
Hardware Engineer,"['Verilog','VHDL','FPGA','ASIC','PCB Design','Signal Integrity']"